,obj1,obj2,size-agree,size-maj,weight-agree,weight-maj,strength-agree,strength-maj,rigidness-agree,rigidness-maj,speed-agree,speed-maj
0,person,dress,1,-42,3,1,3,1,1,-42,1,-42
1,person,step,3,1,3,1,3,-1,2,-1,3,1
2,body,mouth,3,1,3,1,3,1,2,1,2,-1
3,sun,coal,3,1,3,1,2,1,1,-42,2,1
4,vessel,something,3,-42,3,-42,3,-42,3,-42,3,-42
5,place,farm,3,-42,3,-42,2,-42,3,-42,2,0
6,master,dress,3,1,3,1,3,1,3,1,3,1
7,ground,body,3,1,3,1,3,1,3,1,3,-1
8,ash,mouth,3,-1,3,-1,3,-1,2,-1,2,-1
9,gentleman,knife,3,1,3,1,2,-1,2,-1,2,1
10,train,face,3,1,3,1,3,1,3,1,3,1
11,friend,mouth,3,1,3,1,3,1,2,1,2,0
12,energy,sun,2,-42,2,-1,1,-42,2,-42,2,-42
13,father,basin,3,1,2,1,2,1,2,-1,3,1
14,bag,gate,3,-1,3,-1,3,-1,3,-1,2,-42
15,brother,book,3,1,3,1,3,1,3,-1,3,1
16,way,road,2,-42,3,-42,2,0,2,0,2,0
17,back,something,2,-42,2,-42,2,-42,2,-42,2,-42
18,lady,car,3,-1,3,-1,3,-1,3,-1,3,-1
19,dinner,daughter,3,-1,3,-1,3,-1,1,-42,3,-1
20,person,lad,3,0,3,0,3,0,3,0,3,0
21,fist,hand,2,-1,3,0,2,0,2,0,2,0
22,ground,room,1,-42,2,1,2,1,1,-42,2,-42
23,child,doorway,3,-1,2,-1,2,-1,3,-1,3,1
24,victim,face,3,1,3,1,2,1,3,0,2,0
25,rain,light,1,-42,1,-42,2,-42,1,-42,3,-1
26,horse,coal,3,1,3,1,2,1,2,-1,3,1
27,poet,door,2,-1,2,1,1,-42,2,-1,2,-42
28,brother,ball,3,1,3,1,3,1,3,-1,2,-1
29,lady,direction,3,-42,2,-42,2,-42,2,-42,2,-42
30,house,sea,3,-1,2,-1,3,-42,2,-42,2,-1
31,coach,arm,3,1,3,1,3,1,2,0,2,0
32,lady,object,3,-42,3,-42,3,-42,3,-42,3,-42
33,something,hand,2,1,2,1,2,-42,2,-42,2,-42
34,father,seal,1,-42,1,-42,1,-42,2,-42,2,-42
35,edition,place,3,-42,3,-42,3,-42,3,-42,3,-42
36,room,wife,2,1,2,1,2,1,2,1,2,-42
37,messenger,camp,2,-1,2,-1,2,-42,2,-1,2,1
38,window,floor,3,-1,3,-1,3,-1,2,0,3,0
39,place,hand,3,1,2,1,2,1,2,1,3,-1
40,door,floor,3,-1,3,-1,2,0,3,0,2,1
41,bay,boat,3,1,2,-42,1,-42,1,-42,3,-1
42,food,way,3,-42,3,-42,3,-42,3,-42,3,-42
43,hat,back,3,-1,3,-1,3,-1,3,-1,2,-1
44,someone,dinner,3,1,3,1,2,1,1,-42,3,1
45,someone,fool,2,-42,1,-42,2,-42,2,-42,2,-42
46,stone,hand,1,-42,2,1,3,1,3,1,2,-1
47,ice,head,2,-42,1,-42,2,1,2,1,2,-42
48,coach,hat,3,1,3,1,3,1,3,1,3,1
49,ear,something,3,-42,3,-42,3,-42,3,-42,3,-42
50,someone,boy,2,-42,2,-42,2,-42,2,0,1,-42
51,stone,bed,2,-1,2,-1,2,1,3,1,1,-42
52,person,daughter,2,1,2,1,2,1,1,-42,2,1
53,person,barn,3,-1,3,-1,3,-1,3,-1,3,1
54,sun,tree,3,1,3,1,2,1,2,-42,2,1
55,door,light,2,1,3,1,3,1,2,1,2,-1
56,ball,mouth,1,-42,1,-42,1,-42,2,1,1,-42
57,child,picture,3,1,3,1,3,1,3,-1,3,1
58,brother,hand,3,1,3,1,3,1,2,0,3,0
59,back,air,2,-42,2,1,2,1,2,1,2,-42
60,gentleman,ball,2,1,2,1,2,1,2,1,1,-42
61,window,end,2,-42,2,-42,2,-42,2,-42,2,-42
62,step,road,3,-1,3,-1,3,-1,2,-1,2,1
63,result,element,2,-42,1,-42,1,-42,2,-42,2,-42
64,parent,child,3,1,3,1,3,1,2,0,2,0
65,sun,sail,3,1,3,1,2,1,2,-42,2,1
66,river,breath,2,1,3,1,3,1,2,1,3,1
67,vessel,anchor,3,1,3,1,2,1,2,0,2,1
68,friend,newspaper,3,1,3,1,3,1,3,1,3,1
69,everything,master,3,1,3,1,2,1,2,-42,2,-42
70,coast,place,2,1,2,1,2,-42,2,-42,1,-42
71,state,way,2,-42,2,-42,2,-42,2,-42,3,-42
72,anchor,mouth,2,1,2,1,2,1,2,1,3,-42
73,hair,room,3,-1,3,-1,3,-1,3,-1,1,-42
74,sea,sail,3,1,3,1,2,1,2,-1,2,1
75,temple,something,3,-42,3,-42,3,-42,3,-42,3,-42
76,system,end,3,-42,3,-42,3,-42,3,-42,3,-42
77,stone,way,2,-42,2,-42,2,-42,2,-42,2,-42
78,sun,ear,3,1,3,1,3,1,2,1,2,1
79,anything,end,2,-42,3,-42,3,-42,3,-42,2,-42
80,father,truck,3,-1,3,-1,3,-1,3,-1,3,-1
81,head,ball,2,0,3,1,2,1,1,-42,3,-1
82,hip,hand,3,1,3,1,2,1,1,-42,2,-1
83,body,direction,2,-42,2,-42,2,-42,2,-42,2,-42
